Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Southern Ave,"1,492.00",626.00,414.00,186.00,8.0,Weekdays,2726.0
Spring Hill,186.00,177.00,264.00,94.00,6.0,Weekdays,727.0
Stadium-Armory,670.00,539.00,595.00,204.00,13.0,Weekdays,2021.0
Suitland,"1,446.00",586.00,407.00,166.00,7.0,Weekdays,2612.0
Takoma,"1,520.00",858.00,927.00,239.00,11.0,Weekdays,3555.0
Tenleytown-AU,850.00,959.00,"1,719.00",653.00,14.0,Weekdays,4195.0
Twinbrook,"1,098.00",610.00,556.00,182.00,7.0,Weekdays,2453.0
Tysons,309.00,424.00,961.00,477.00,8.0,Weekdays,2179.0
U Street,"1,165.00","1,019.00","1,474.00","1,164.00",77.0,Weekdays,4899.0
Union Station,"4,171.00","3,216.00","5,357.00","1,909.00",35.0,Weekdays,14688.0
Van Dorn Street,821.00,345.00,250.00,111.00,8.0,Weekdays,1535.0
Van Ness-UDC,"1,127.00",960.00,998.00,324.00,13.0,Weekdays,3422.0
Vienna,"2,093.00",899.00,695.00,215.00,6.0,Weekdays,3908.0
Virginia Sq-GMU,910.00,511.00,609.00,221.00,9.0,Weekdays,2260.0
Waterfront,852.00,822.00,"1,164.00",707.00,22.0,Weekdays,3567.0
West Falls Church,681.00,299.00,196.00,65.00,4.0,Weekdays,1245.0
West Hyattsville,"1,362.00",621.00,489.00,131.00,7.0,Weekdays,2610.0
Wheaton,685.00,398.00,349.00,148.00,13.0,Weekdays,1593.0
Wiehle-Reston East,813.00,356.00,397.00,95.00,7.0,Weekdays,1668.0
Woodley Park,"1,163.00","1,034.00","1,168.00",400.00,23.0,Weekdays,3788.0
Addison Road,159.0,292.00,163.00,101.00,9.0,Weekends,724.0
Anacostia,320.0,817.00,465.00,266.00,16.0,Weekends,1884.0
Archives,66.0,866.00,"1,686.00",535.00,18.0,Weekends,3171.0
Arlington Cemetery,36.0,747.00,471.00,25.00,3.0,Weekends,1282.0
Ashburn,116.0,503.00,218.00,78.00,1.0,Weekends,916.0
Ballston-MU,347.0,"1,562.00",965.00,539.00,28.0,Weekends,3441.0
Benning Road,192.0,410.00,213.00,118.00,7.0,Weekends,940.0
Bethesda,219.0,"1,266.00",823.00,444.00,19.0,Weekends,2771.0
Braddock Road,142.0,608.00,375.00,189.00,9.0,Weekends,1323.0
Branch Ave,191.0,556.00,271.00,118.00,7.0,Weekends,1143.0
Brookland-CUA,213.0,"1,055.00",659.00,286.00,12.0,Weekends,2225.0
Capitol Heights,122.0,260.00,132.00,75.00,6.0,Weekends,595.0
Capitol South,78.0,723.00,683.00,224.00,8.0,Weekends,1716.0
Cheverly,44.0,112.00,65.00,41.00,7.0,Weekends,269.0
Clarendon,133.0,987.00,750.00,480.00,63.0,Weekends,2413.0
Cleveland Park,126.0,846.00,601.00,277.00,13.0,Weekends,1863.0
College Park-U of Md,180.0,853.00,468.00,234.00,8.0,Weekends,1743.0
Columbia Heights,522.0,"2,490.00","1,872.00",966.00,42.0,Weekends,5892.0
Congress Heights,136.0,343.00,246.00,114.00,7.0,Weekends,846.0
Court House,266.0,"1,279.00",720.00,388.00,21.0,Weekends,2674.0
Crystal City,392.0,"1,480.00",802.00,400.00,18.0,Weekends,3092.0
Deanwood,96.0,231.00,130.00,69.00,6.0,Weekends,532.0
Downtown Largo,142.0,362.00,228.00,151.00,10.0,Weekends,893.0
Dulles Airport,283.0,556.00,907.00,607.00,5.0,Weekends,2358.0
Dunn Loring,133.0,467.00,270.00,128.00,3.0,Weekends,1001.0
Dupont Circle,372.0,"3,390.00","2,769.00","1,776.00",129.0,Weekends,8436.0
East Falls Church,228.0,876.00,440.00,160.00,7.0,Weekends,1711.0
Eastern Market,179.0,"1,694.00","1,098.00",541.00,25.0,Weekends,3537.0
Eisenhower Ave,101.0,363.00,236.00,118.00,5.0,Weekends,823.0
Farragut North,143.0,"1,120.00","1,294.00",837.00,75.0,Weekends,3469.0
Farragut West,161.0,"1,107.00","1,034.00",634.00,48.0,Weekends,2984.0
